2026-08-19 16:08:24 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:26 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:28 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:30 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:32 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:34 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': False, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:36 | INFO     | MainThread           | [STREAM CLOSE START]
2026-08-19 16:08:36 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': True, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:36 | INFO     | MainThread           | [SEEK CANCEL CALL]
2026-08-19 16:08:38 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': True, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:40 | DEBUG    | SeekMonitorWatcher   | [STATE] {'seek_in_progress': False, 'sliding': False, 'growth_refresh': False, 'closed': True, 'worker_alive': True, 'current_frame': 83, 'audio_clock': 159744}
2026-08-19 16:08:40 | INFO     | MainThread           | [STREAM CLOSE END]
